FirstName,LastName,twitter handle,election label
Colleen,Hanabusa,@ColleenHanabusa,no
Karen,Handel,@karenhandel,no
Gregg,Harper,@HarperCampaign,no
Andy,Harris,@Harris4Congress,no
Vicky,Hartzler,@VickyH4Congress,no
Alcee,Hastings,@alcee4congress,no
Denny,Heck,@DennyHeck,no
Jeb,Hensarling,@JebHensarling,no
Jaime,Herrera Beutler,@JaimeForUSRep,no
Jody,Hice,@jodyhice,no
Brian,Higgins,,
Clay,Higgins,@CaptClayHiggins,no
J.,Hill,@ElectFrench,yes
James,Himes,@jimhimes,no
George,Holding,@GeorgeHolding,no
Trey,Hollingsworth,@VoteForTrey,no
Steny,Hoyer,@StenyHoyer,no
Richard,Hudson,@RichHudson,no
Jared,Huffman,@JaredHuffman,no
Bill,Huizenga,@billhuizenga,no
Randy,Hultgren,@RandyHultgren,no
Duncan,Hunter,,
Will,Hurd,@WillHurd,no
Darrell,Issa,,
Sheila,Jackson Lee,@JacksonLeeTX18,no
Pramila,Jayapal,@PramilaJayapal,no
Hakeem,Jeffries,@TeamJeffries,no
Evan,Jenkins,@EvanJenkinsWV,no
Lynn,Jenkins,@lynnjenkins,no
Bill,Johnson,@JohnsonLeads,no
Eddie,Johnson,,
Henry,Johnson,@ReElectHank,no
Mike,Johnson,,
Sam,Johnson,,
Walter,Jones,,
Jim,Jordan,@Votejimjordan,no
David,Joyce,@DaveJoyceOH14,yes
Marcy,Kaptur,@Marcy_Kaptur,yes
John,Katko,,
William,Keating,@WilliamKeating,no
Mike,Kelly,@MikeKellyforPA,no
Robin,Kelly,@RobinLynneKelly,no
Trent,Kelly,@KellyforMS01,no
Joseph,Kennedy,@joekennedy,no
Ro,Khanna,@RoKhanna,no
Ruben,Kihuen,@RubenKihuen,no
Daniel,Kildee,@dankildee,no
Derek,Kilmer,@DerekKilmer,no
Ron,Kind,@KindforCongress,no
Peter,King,,
Steve,King,,
Adam,Kinzinger,@AdamKinzinger,yes
Stephen,Knight,,
Raja,Krishnamoorthi,,
Ann,Kuster,@AnnMcLaneKuster,no
David,Kustoff,@DavidKustoff,no
Raúl,Labrador,@RaulLabrador4ID,no
Darin,LaHood,@ElectLaHood,yes
Doug,LaMalfa,@DougLaMalfa,no
Conor,Lamb,@ConorLambPA,no
Doug,Lamborn,,
Leonard,Lance,@LeonardLanceNJ7,no
James,Langevin,,
Rick,Larsen,@larsenrick,no
John,Larson,@JohnLarsonCT,no
Robert,Latta,@latta4congress,no
Brenda,Lawrence,@BrendaLLawrence,no
Al,Lawson,,
Barbara,Lee,@BLeeForCongress,yes
Debbie,Lesko,@DebbieLesko,no
Sander,Levin,@Levin4Congress,no
Jason,Lewis,@Jason2CD,no
John,Lewis,,
Ted,Lieu,@tedlieu,no
Daniel,Lipinski,,
Frank,LoBiondo,,
David,Loebsack,@DaveForIowa,no
Zoe,Lofgren,@ZoeLofgren,no
Billy,Long,@auctnr1,no
Barry,Loudermilk,@standwithbarry,no
Mia,Love,@MiaBLove,no
Alan,Lowenthal,@alanlowenthal,no
Nita,Lowey,@Lowey4Congress,no
Frank,Lucas,@FrankDLucas,no
Blaine,Luetkemeyer,@LuetkemeyerB,no
Ben,Luján,@peopleforben,no
Michelle,Lujan Grisham,@Michelle4NM,yes
Stephen,Lynch,@RepLynch,no
Thomas,MacArthur,@tmac4congress,no
Carolyn,Maloney,@CarolynBMaloney,no
Sean,Maloney,@MaloneyforNY,no
Kenny,Marchant,@MarchantforTX24,no
Tom,Marino,@Marino4Congress,no
Roger,Marshall,@RogerMarshallMD,no
Thomas,Massie,@ThomasMassieKY,no
Brian,Mast,@BrianMastFL,no
Doris,Matsui,@Matsui4Congress,no
Kevin,McCarthy,@kevinomccarthy,no
Michael,McCaul,@McCaulforTexas,no
Tom,McClintock,@tommcclintock,no
Betty,McCollum,@VoteBetty,no
A.,McEachin,@Donald_McEachin,no
James,McGovern,@McGovernMA,no
Patrick,McHenry,,
David,McKinley,,
Cathy,McMorris Rodgers,@TeamCMR,no
Jerry,McNerney,@jerrymcnerney,no
Martha,McSally,@MarthaMcSally,no
Mark,Meadows,@MarkMeadows,no
Gregory,Meeks,,
Grace,Meng,@Grace4NY,no
Luke,Messer,@LukeMesserIN,no
Paul,Mitchell,@PaulMitchell4us,no
John,Moolenaar,@JohnMoolenaar,no
Alexander,Mooney,,
Gwen,Moore,@Gwen4Congress,no
Seth,Moulton,@sethmoulton,no
Markwayne,Mullin,@MarkwayneMullin,
Stephanie,Murphy,@SMurphyCongress,no
Jerrold,Nadler,@JerryNadler,no
Grace,Napolitano,@grace4congress,no
Richard,Neal,,
Dan,Newhouse,@DanNewhouse1,no
Kristi,Noem,@KristiNoem,no
Richard,Nolan,,
Donald,Norcross,@DonNorcross4NJ,no
Ralph,Norman,@RalphNorman,no
Eleanor,Norton,,
Devin,Nunes,@DevinNunes,no
Tom,O'Halleran,@TomOHalleran,no
Pete,Olson,@PeteOlson,no
Beto,O'Rourke,@BetoORourke,yes
Steven,Palazzo,@StevenPalazzo,no
Frank,Pallone,@pallonefornj,no
Gary,Palmer,@Palmer4Alabama,no
Jimmy,Panetta,JimmyPanetta,no
Bill,Pascrell,@PascrellforNJ,yes
Erik,Paulsen,@Erik_Paulsen,no
Donald,Payne,@Payne10thNJ,no
Stevan,Pearce,,
Nancy,Pelosi,@TeamPelosi,no
Ed,Perlmutter,@Ed4Colorado,no
Scott,Perry,,
Scott,Peters,@ScottPetersSD,no
Collin,Peterson,@collinpeterson,no
Chellie,Pingree,,
Robert,Pittenger,@RobertPittenger,no
Stacey,Plaskett,,
Mark,Pocan,@MarkPocan,no
Ted,Poe,@POEforCongress,no
Bruce,Poliquin,@BrucePoliquin,no
Jared,Polis,@jaredpolis,no
Bill,Posey,,
David,Price,,
Mike,Quigley,@QuigleyCampaign,no
Aumua Amata,Radewagen,@amata96799,no
Jamie,Raskin,@jamie_raskin,no
John,Ratcliffe,@RatcliffeTX4,no
Tom,Reed,@TomReedCongress,no
David,Reichert,@TeamReichert,no
James,Renacci,@JimRenacci,no
Kathleen,Rice,@KathleenRice,no
Tom,Rice,,
Cedric,Richmond,@CedricRichmond,no
Martha,Roby,@TeamRoby,no
David,Roe,,
Harold,Rogers,,
Mike,Rogers,,
Dana,Rohrabacher,@DanaRohrabacher,no
Todd,Rokita,@ToddRokitaIN,no
Francis,Rooney,@FrancisRooney,no
Thomas,Rooney,,
Jacky,Rosen,@RosenforNevada,no
Peter,Roskam,@TeamRoskam,no
Ileana,Ros-Lehtinen,@RosLehtinenCamp,no
Dennis,Ross,,
Keith,Rothfus,@RothfusForPA,no
David,Rouzer,@DavidRouzer,yes
Lucille,Roybal-Allard,,
Edward,Royce,@EdRRoyce,
Raul,Ruiz,@Dr_RaulRuiz,no
C.,Ruppersberger,,
Bobby,Rush,@BobbyLRushMC,no
Steve,Russell,@SteveRussellOK,no
John,Rutherford,@JRutherfordFL,no
Paul,Ryan,,
Tim,Ryan,@TimRyan,yes
Gregorio,Sablan,,
Linda,Sánchez,@RepLindaSanchez,no
Mark,Sanford,,
John,Sarbanes,@JohnSarbanes,yes
Steve,Scalise,,
Janice,Schakowsky,@RepSchakowsky,no
Adam,Schiff,@AdamSchiffCA,no
Bradley,Schneider,@Schneider4IL10,no
Kurt,Schrader,@VoteSchrader,no
David,Schweikert,@DavidSchweikert,no
Austin,Scott,@AustinScott4GA,no
David,Scott,,
Robert,Scott,,
F.,Sensenbrenner,,
José,Serrano,,
Pete,Sessions,@SessionsforTX32,no
Terri,Sewell,@Sewell4Congress,yes
Carol,Shea-Porter,@TeamSheaPorter,no
Brad,Sherman,@BradSherman4SFV,no
John,Shimkus,@JohnMShimkus,no
Bill,Shuster,@ShusterForPA9,no
Michael,Simpson,@MikeSimpson4ID,no
Kyrsten,Sinema,,
Albio,Sires,@AlbioSiresNJ,no
Adam,Smith,@electadamsmith,no
Adrian,Smith,,
Christopher,Smith,,
Jason,Smith,@JasonSmithMO,no
Lamar,Smith,,
Lloyd,Smucker,@LloydSmuckerPA,yes
Darren,Soto,@DarrenSoto,no
Jackie,Speier,@JackieSpeier,no
Elise,Stefanik,@RepStefanik,no
Chris,Stewart,@StewartforUtah,no
Steve,Stivers,@stevestivers,no
Thomas,Suozzi,@Tom_Suozzi,no
Eric,Swalwell,@ericswalwell,no
Mark,Takano,@MarkTakano,no
Scott,Taylor,@Scotttaylorva,no
Claudia,Tenney,@ClaudiaTenneyNY,no
Bennie,Thompson,,
Glenn,Thompson,@GT_TeamGT,no
Mike,Thompson,@Mike_CA05,no
Mac,Thornberry,@MacThornberry,no
Scott,Tipton,@ScottRTipton,no
Dina,Titus,@dinatitus,no
Paul,Tonko,@PaulTonko,no
Norma,Torres,@Norma4Congress,no
David,Trott,,
Niki,Tsongas,@ntsongas,no
Michael,Turner,@MikeTurnerOH,yes
Fred,Upton,@UptonForAllOfUs,no
David,Valadao,@dgvaladao,no
Juan,Vargas,,
Marc,Veasey,@MarcVeasey,no
Filemon,Vela,@FilemonVela,no
Nydia,Velázquez,@ReElectNydia,no
Peter,Visclosky,,
Ann,Wagner,@AnnLWagner,no
Tim,Walberg,@TimWalberg,no
Greg,Walden,@votegregwalden,no
Mark,Walker,@Walker4NC ‏,yes
Jackie,Walorski,@jackiewalorski,no
Mimi,Walters,@MimiWaltersCA,no
Timothy,Walz,@Tim_Walz,no
Debbie,Wasserman Schultz,@DWStweets,no
Maxine,Waters,@MaxineWaters,no
Bonnie,Watson Coleman,@Bonnie4Congress,no
Randy,Weber,@WeberforTexas,no
Daniel,Webster,@WebsterCongress,no
Peter,Welch,@WelchForVT,no
Brad,Wenstrup,@bradwenstrup,yes
Bruce,Westerman,@WestermanAR,no
Roger,Williams,,
Frederica,Wilson,,
Joe,Wilson,@CongJoeWilson,no
Robert,Wittman,,
Steve,Womack,@womack4congress,no
Rob,Woodall,@votewoodall,no
John,Yarmuth,,
Kevin,Yoder,@KevinYoder,no
Ted,Yoho,@TedYoho,no
David,Young,@YoungForIowa,no
Don,Young,,
Lee,Zeldin,@leezeldin,no
Lamar,Alexander,@LamarAlexander,no
,,,
Tammy,Baldwin,@tammybaldwin,no
John,Barrasso,@barrassoforwyo,no
,,,
,,,
Michael,Bennet,@BennetForCO,no
Richard,Blumenthal,@DickBlumenthal,no
Roy,Blunt,@RoyBluntMO,no
John,Boozman,@Boozman4AR,no
Tammy,Duckworth,@TammyforIL,no
Sherrod,Brown,@SherrodBrown,no
Richard,Burr,@BurrForSenate,no
Maria,Cantwell,@MariaCantwell,no
Ben,Cardin,@BenCardinforMD,no
Tom,Carper,@TomCarperforDE,no
Bob,Casey,@Bob_Casey,yes
Cory,Gardner,@CoryGardner,no
Tom,Cotton,@TomCottonAR,no
Dan,Sullivan,,
Doug,Jones,@DougJones,no
Thad,Cochran,,
Susan,Collins,,
Chris,Coons,@ChrisCoonsforDE,no
Bob,Corker,,
John,Cornyn,,
Michael,Crapo,@crapo4senate,no
Ted,Cruz,@tedcruz,yes
Joe,Donnelly,@JoeforIndiana,
Richard,Durbin,@DickDurbin,no
Michael,Enzi,@EnziforWyo,no
Dianne,Feinstein,,
Deb,Fischer,@DebFischerNE,yes
Jeff,Flake,,
Kamala,Harris,@KamalaHarris,no
Kirsten,Gillibrand,@SenGillibrand,no
Lindsey,Graham,,
Chuck,Grassley,,
Kay,Hagan,,
Tom,Harkin,,
Orrin,Hatch,,
Martin,Heinrich,@TeamHeinrich,yes
Heidi,Heitkamp,@HeidiHeitkamp,no
Dean,Heller,@DeanHeller,no
Mazie,Hirono,@mazieforhawaii,no
John,Hoeven,@hoeven4senate,no
James,Inhofe,,
Johnny,Isakson,@JohnnyIsakson,no
Mike,Johanns,,
Ron,Johnson,@RonJohnsonWI,no
Tim,Johnson,,
Tim,Kaine,@timkaine,no
Angus,King,,
Mark Steven,Kirk,,
Amy,Klobuchar,@amyklobuchar,no
Mary,Landrieu,@MaryLandrieu,no
Pat,Leahy,@PatrickLeahy,no
Mike,Lee,@MikeLeeforUtah,no
Joe,Manchin,@JoeManchinWV,yes
Ed,Markey,@EdMarkey,no
John,McCain,,
Claire,McCaskill,@McCaskill4MO,no
Mitch,McConnell,,
Robert,Menendez,@BobMenendezNJ,no
Jeff,Merkley,@JeffMerkley,no
Barbara,Mikulski,@SenatorBarb,no
Jerry,Moran,@JerryMoran,no
Lisa,Murkowski,@LisaForSenate,no
Chris,Murphy,@ChrisMurphyCT,no
Patty,Murray,@MurrayCampaign,no
